Timestamp,Age,Gender,Occupation,Home State,Language,School (If college student),Program enrolled,Factors affecting mental health,Areas of mental health concerns,"Escape Hours: Your Safe Space
A place where little things bring you peace, joy, comfort, helps to recharge, and find happiness.",What's your mental health status?,How would you scale your sensitivity?,"If you鈥檙e not feeling happy, or if you鈥檙e feeling low, what do you think is the biggest key reason behind it?","When you鈥檙e going through tough moments, what kind of comfort or support do you wish for from others?","Have you ever consulted a doctor that you鈥檙e dealing with a mental health issue? If yes, did you take help of medication or professional guidance?",How did you look after yourself and your mental health?,What do you feel now or what's your point of view about life when you have overcome your depressed phase?,If you have faced panic attacks/anxiety attack/other depression symptoms how you have faced it?,Do you find it easy to share your emotions and feelings with others?,If you have used AI platforms to share breakdown moments how did it respond?,"Compared to talking with friends, family, or professionals, how effective do you find AI in providing mental health support?","To what extent do you find AI helpful in managing stress, anxiety, or overall mental health?","If you have experienced bias in AI responses (e.g., stereotypes, insensitive replies based on your gender), please describe it briefly.",What improvement/what way AI should have responded to reach your emotions and thoughts?,Few words you would like to share which might help and encourage others
2025/10/31 6:22:32 pm GMT+5:30,18,Male,College student,Chattisgarh,Punjabi,SCHOOL OF BUSINESS,BBA,Health issues,Loneliness,by taking rest,7,3,"stress,expectations,etc",listening and empathy,No,self care pratices,more postive outlook,sought professional help,Maybe,Positively,Somewhat effective,Somewhat helpful,no bias experienced.,more empathy,"be kind,help others."
2025/10/31 6:32:02 pm GMT+5:30,18,Female,student,Gujarat,Gujarati,Others,Others,Physical appearance,Stress;Self harm tendencies,my bedroom where i feel happy.,6,3,stress,talking to friends,Consulted doctor but didn't take medication help,working on self-love,more postive now,managed with support,Maybe,Positively,Same,Neutral,AI was neutral in interactions.,validate user feelings more.,be kind to yourself
2025/10/31 6:42:20 pm GMT+5:30,19,Female,college student,Haryana,Hindi,SCHOOL OF LIFE SCIENCE AND BIOTECHNOLOGY,B.SC BIOTECHNOLOGY,Academic;Family,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies,reading stoies books,8,4,personal stressors,listening friends,No,being postive and growing,mostly satisfied,sometimes i get,Maybe,Very positively,Somewhat effective,Somewhat helpful,no bias,more empathy,talk openly.
2025/10/31 7:01:02 pm GMT+5:30,19,Male,college student,Goa,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING (CYBER SECURITY),Unequal freedom in choosing career paths,Stress;Anger,being with friends.,5,4,stress from personal expectations.,understanding and someone to listen without judgement,No,by practicing meditation and talking to friends.,feeling more calm.,handled with support,Yes,Positively,Somewhat effective,Somewhat helpful,No bias experienced.,more empathy needed,encourage kindness.
2025/10/31 8:43:01 pm GMT+5:30,20,Female,Student,Uttar Pradesh,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING (ARTIFICIAL ENGINEERING & MACHINE LEARNING),Academic;Friendship/social circles;Health issues;Financial independence;Overthinking/isolation/self-worth struggles,Stress;Low self esteem/motivation;Phobias;Anger;Post traumatic stress disorder,Home,9,4,Demotivation from someone I look up to,Talking,No,"Music, Meditation",Life was meant to be full of struggles. Only the deceased have no problems.,Running away from that place,Yes,Neutral,Much Less effective,Not at all helpful,Not till now,AI must give more person oriented solutions like the answers should be more personalized as problem varies from person to person.,"We're in this together. You don't have any problem, it's just a phase that needs self love. "
2025/10/31 8:46:27 pm GMT+5:30,20,Female,college student,Chandigarh,Hindi,SCHOOL OF SMART AGRICULTURE,Others,Double standards in freedom,Depression;Anxiety / Panic attacks;Stress,gardening,6,3,loneiness,support from others,No,by keeping the mind calm,relax and free,sufforting,Yes,Positively,Somewhat effective,Somewhat helpful,stereotyped,explainable AI,BE WITH OTHERS IN THEIR BAD TIMES
2025/10/31 8:51:22 pm GMT+5:30,21,Female,STUDENT,West Bengal,Bengali,SCHOOL OF MEDIA AND COMMUNICATION,B.A JOURNALISM & MASS COMMUNICATION,Friendship/social circles;Work,Low self esteem/motivation;Phobias,BY speaking in public,7,3,being alone,be with me,No,by making myself comfort,joyful and no tension,no i have not got,No,Neutral,Less effective,Neutral,powerless,inclusive design,support others
2025/10/31 9:12:29 pm GMT+5:30,19,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH ELECTRONICS AND COMMUNICATION ENGINEERING,Family;Love/Relationship;Friendship/social circles;Health issues;Societal culture and discrimination;Unequal freedom in choosing career paths;Double standards in freedom;Financial independence;Media or social representation;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Sleep issues;Loneliness;Anger;Bipolar disorder,Hear a song,9,4,Working pressure,A smile,No,Good,Life is tough,With confidence,Maybe,Positively,Less effective,Not very helpful,I haven鈥檛 experienced any bias in AI responses related to mental health.,"

AI should respond with more empathy, comfort, and emotional understanding.

",You鈥檙e not alone鈥攖ake small steps every day and reach out when you need support.
2025/10/31 9:58:23 pm GMT+5:30,22,Female,working profession,Andhra Pradesh,Telugu,Not applicable,Not applicable,Work,Depression;Stress,listening to music,7,3,stress,comfort from others,No,"yoga,excercise","relax,free",no i have not faced,Maybe,Positively,Somewhat effective,Neutral,none noticed,understand better,stay positive
2025/10/31 10:05:31 pm GMT+5:30,22,Female,job,Arunachal Pradesh,Hindi,Not applicable,Not applicable,Family;Work,Low self esteem/motivation;Bipolar disorder,travelling,6,3,tension,always be with me,No,by doing gardening which gives refreshment,happy,no,Yes,Positively,Somewhat effective,Neutral,no bias noticed,positive influence,stay curious always
2025/10/31 10:10:51 pm GMT+5:30,20,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING (ARTIFICIAL ENGINEERING & MACHINE LEARNING),Double standards in freedom,Self harm tendencies,Listening songs,1,4,I am feeling happy for mutual understanding from both sides,explaining my problem with best friends and seek solution,Consulted doctor and took help of medication,I just make my mind calm and try to understand the situation,Everyone doesn't get what they want,take deep breathe and listen to friend's advices,No,Positively,Somewhat effective,Somewhat helpful,Obviously AI responses are full of biasness cause they think girls have more freedom problem,should give appropriate answer to all the users,keep it up
2025/10/31 10:14:16 pm GMT+5:30,21,Female,student,Gujarat,Gujarati,SCHOOL OF EDUCATION,B.A ENGLISH LANGUAGE & LITERATURE,Academic,Depression;Stress;Sleep issues,listening to music,7,4,depression,"emotional understanding ,care",Consulted doctor but didn't take medication help,self care and rest,life feels hopeful,"deep breathing,self-control",Maybe,Positively,Somewhat effective,Somewhat helpful,gender-based misunderstanding,"with empathy ,understanding","stay strong,keep hope"
2025/10/31 10:19:26 pm GMT+5:30,20,Female,college student,Bihar,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Love/Relationship,Depression;Self harm tendencies;Sleep issues;Loneliness,sleeping,8,4,"stress,tension and overthinking",understand me,No,by making myself postive,enjoyful and happy,breathing problem,Maybe,Positively,Somewhat effective,Neutral,unfair gender response,"with kindness,sensitivity",never give up
2025/10/31 10:24:28 pm GMT+5:30,19,Female,student,Jharkhand,Hindi,SCHOOL OF LAW AND JUSTICE,B.A.LLB(HONS),Physical appearance,Stress;Loneliness,skething,9,3,by getting bulling from others,make me happy,No,by making myself happy,happy,no,Maybe,Positively,Somewhat effective,Neutral,misunderstand female emotions,show care and support,believe in yourself.
2025/10/31 10:40:22 pm GMT+5:30,19,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH ELECTRICAL ENGINEERING,Religious and cultural traditions,"i have none bruh, idk why I should be selecting something that I don't have ",terrace and gym,10,1,"it's some mood swings, no more crap",i don't expect shit from anyone,No,"I'm alright, hence, i didn't need to take care of it separately, otherwise, i workout, so, that can be counted in",ive never been depressed fyi,haven't faced any,No,Neutral,Same,Neutral,"wtf, I've never used those shit and idk why I'm bound to choose an option above when I haven't done anything of that sort","i never need ai for this shit, i can cope with my mood swings, don't need to consult anyone or show anyone my difficulty, while others might take advantage of them","bruh, this form is crap imo, just focus on yourself and tackle things yourself. you're nature enough to handle your own business. if you face any issues despite all that, go to your mom, she'll be your safest place and pray to god and workout. adios."
2025/11/01 6:50:15 am GMT+5:30,18,Female,Student,West Bengal,Bengali,SCHOOL OF LIBERAL ARTS AND CULTURE STUDIES,B.A HISTORY,Work,Stress;Anger,Walking whenever I feel low,2,5,Feeling low for work pressure,Seeking motivation for keeping it up,No,Just concentrate on myself and try to make myself more happy day by day,Earning in teenage is crazy until you know about the work pressure,Just listen songs,Maybe,Positively,Somewhat effective,Somewhat helpful,No I have not experienced till now,AI should understand the situation I am in and reply accordingly,Take the pressure for better future
2025/11/01 6:58:22 am GMT+5:30,22,Transgender,Student,Uttar Pradesh,Hindi,SCHOOL OF BUSINESS,BBA,Sexuality and identity;Negative experiences (bully/harrasment),Depression;Anxiety / Panic attacks;Stress;Loneliness;Phobias,Family,1,5,Feeling happy cause my family is motivating me,The people who are suffering the same problem what they do if they face this problem too,No,Just talking with myself and keep loving myself,Let's people judge cause wise people don't do that,Listening songs,No,Positively,Somewhat effective,Somewhat helpful,Yes as I am a transgender I feel so stressed and AI don't respond accordingly sometimes,Should respond accordingly,Just focus on yourself
2025/11/01 11:07:37 am GMT+5:30,18,Male,Student,Maharashtra,Hindi,SCHOOL OF LAW AND JUSTICE,B.A.LLB(HONS),Health issues;Work,Depression;Stress;Obsessive compulsive disorder (OCD),"Family,frends",1,4,spending time with close ones,advices,Consulted doctor and took help of medication,Consulting doctor and therapist also and loving myself too,Everyone should love themselves even if they have busy schedule,Just listening songs or walking for a while,Maybe,Very positively,Somewhat effective,Somewhat helpful,Yes AI responses are based on gender,Should respond accordingly,Even if you have health issues don't give up on your work
2025/11/01 5:34:22 pm GMT+5:30,20,Female,Student,West Bengal,Hindi,SCHOOL OF LIFE SCIENCE AND BIOTECHNOLOGY,B.SC BIOTECHNOLOGY,Academic;Family;Health issues;Unequal freedom in choosing career paths;Double standards in freedom;Financial independence;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Loneliness;Anger,Talking to shree krishn,5,3,Overthinking,Listen,Consulted doctor and took help of medication,Meditation and listening to music,I haven't yet,I have controlled it by deep breathing,No,Neutral,Somewhat effective,Neutral,None,Just give me the best and effective ideas to overcome my situation,"Just listen some good music,do deep breathing, talk to your close ones,be alone for sometime "
2025/11/01 9:59:01 pm GMT+5:30,18,Female,Student,West Bengal,Bengali,Others,B.SC PSYCHOLOGY,Academic;Family;Friendship/social circles;Financial independence;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Loneliness;Low self esteem/motivation;Anger,My dog (Momo),3,5,"Me, myself and I only ",Someone to listen,Consulted doctor and took help of medication,Burden,I'm still in depression dude but live it..when life gives you depression do black magic,I've faced it alone,No,Positively,Much more effective,Somewhat helpful,None,Maybe a bit more humanly,Fuck everyone and live your life
2025/11/01 9:59:48 pm GMT+5:30,19,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH ELECTRONICS AND COMMUNICATION ENGINEERING,Academic;Family;Love/Relationship;Friendship/social circles;Negative experiences (bully/harrasment),Depression;Stress;Loneliness;Low self esteem/motivation,Mountain,6,3,Loneliness,Back support,No,Never do anything for me & my mental health,Better life always come,Kept alone in a dark room with sad songs and packets of cigarettes,No,Neutral,Somewhat effective,Somewhat helpful,Never tried,Never thought an Ai can reach to my emotions,I can't handle my problems. So how can share anything for others
2025/11/01 10:02:47 pm GMT+5:30,20,Female,Student,West Bengal,Bengali,SCHOOL OF EDUCATION,B.A ENGLISH LANGUAGE & LITERATURE,Academic;Family;Friendship/social circles;Health issues,Self harm tendencies;Obsessive compulsive disorder (OCD),None,5,3,Overthinking,Care,Consulted doctor but didn't take medication help,Nothing,Haven't,SH,No,Positively,Somewhat effective,Somewhat helpful,Yes,No idea,Need encouragement myself
2025/11/01 10:04:11 pm GMT+5:30,21,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH MECHANICAL ENGINEERING,Academic;Health issues;Overthinking/isolation/self-worth struggles;Work,Stress;Sleep issues;Anger,Spending time with friends in any place gives me joy and comfort,5,2,Study,Listening my problem and giving me good opinion,No,I don't think much about mental health,"After overcoming my depressed phase, I鈥檝e started to value small moments of peace and happiness more deeply. I鈥檝e realized that life isn鈥檛 about being happy all the time, but about accepting ups and downs and learning from them. I now see challenges as opportunities to grow stronger and more self-aware.","Yes, I have faced anxiety and depressive symptoms. I managed them by talking to close friends, practicing mindfulness and meditation, journaling my thoughts, and focusing on healthy habits like exercise and proper sleep. Over time, I also learned to be kind to myself instead of being overly critical",Yes,Neutral,Less effective,Neutral,"Yes, at times I鈥檝e noticed that AI responses can sound a bit generalized or assume certain roles or emotions based on gender. For example, sometimes the tone feels less empathetic or too formal when I鈥檓 talking about emotional topics, as if it misses the human depth behind the words.","AI should respond with more emotional sensitivity 鈥� acknowledging feelings before giving information or advice. A gentle, understanding tone that validates emotions first and then provides thoughtful guidance would make conversations feel more supportive and human-like.
","No matter how heavy things feel, remember that healing takes time 鈥� and that鈥檚 okay. Reaching out, talking, and expressing yourself are signs of strength, not weakness. Every step, no matter how small, counts toward a brighter and more peaceful mind."
2025/11/01 10:05:40 pm GMT+5:30,19,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic,Anxiety / Panic attacks;Sleep issues,While playing some games,8,3,Academics,I want to play some games or do some activity with others,No,I try to stay as positive as i can,I feel relived and i try to enjoy most of the moments,I worked on it patiently,Maybe,Positively,Somewhat effective,Somewhat helpful,No,Ai should talk in a more humanize,Stay strong try hard that's the mantra
2025/11/01 10:11:03 pm GMT+5:30,19,Female,Student,West Bengal,Hindi,Others,B.COM,Family;Health issues;Physical appearance;Religious and cultural traditions;Financial independence,Depression;Anxiety / Panic attacks;Stress;Sleep issues;Anger,Away from home,2,5,Idk,Crying alone,No,It's pressuring to me,I didn't overcome,My harming myself physically,Maybe,Neutral,Less effective,Not very helpful,No,Idk,Great
2025/11/01 10:13:03 pm GMT+5:30,20,Male,Businesses,West Bengal,Hindi,SCHOOL OF BUSINESS,BBA,Academic,Stress,My music room,3,5,Depending upon situations,Silence,No,Yup,"Life is best, when you  want to live your life according to yourself.",Nope,No,Neutral,Same,Somewhat helpful,Nope,Some good relevant or some not good enough,May it be helpful
2025/11/01 10:18:42 pm GMT+5:30,20,Female,Student,West Bengal,Maithili,Others,B.COM,Academic;Family;Love/Relationship,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Loneliness;Low self esteem/motivation;Anger;Obsessive compulsive disorder (OCD);Post traumatic stress disorder,Temple,2,5,"Family, academic and relationship issues ",Just a trustable shoulder to cry on,No,I don't look after myself,"I haven't overcame, I am still depressed and traumatized because of the people in my surrounding",I faced it alone sitting in my dark room.,No,Positively,Much more effective,Somewhat helpful,No I haven't experienced anything like this.,No they don't need any such improvement. I personally found it very much helpful and effective.,"Trust in God process. God is just testing you, be strong  don't weaken yourself."
2025/11/01 10:18:46 pm GMT+5:30,20,Female,Student,West Bengal,Hindi,SCHOOL OF HEALTH AND MEDICAL SCIENCES,B. TECH BIOMEDICAL ENGINEERING,Academic;Love/Relationship;Friendship/social circles;Financial independence,Anxiety / Panic attacks;Stress;Sleep issues;Loneliness,Talking to a friend,3,3,Overthinking,Listening,No,Journaling,Be grateful for small things,Talk myself out of it,No,Neutral,Less effective,Somewhat helpful,No,No comments,Just be grateful
2025/11/01 10:22:07 pm GMT+5:30,19,Female,student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING (ARTIFICIAL ENGINEERING & MACHINE LEARNING),Academic;Family;Love/Relationship;Health issues;Physical appearance;Societal culture and discrimination;Unequal freedom in choosing career paths;Double standards in freedom;Financial independence;Media or social representation;Overthinking/isolation/self-worth struggles,Anxiety / Panic attacks;Stress;Sleep issues;Low self esteem/motivation,with my dog,4,3,overthinking,understanding,No,idk,I feel ok now,never faced such things,Maybe,Positively,Much Less effective,Not very helpful,"ai responses sound too robotic...like it says what it thinks I want to hear , not what needed to be heard",I don't think AI can ever help with actual mental health problems,nope
2025/11/01 10:23:06 pm GMT+5:30,18+,Female,College student,West Bengal,Bengali,Others,BCA,Overthinking/isolation/self-worth struggles,Anger,Spending time with my parents/friend/partner,9,5,Eating,To stay by my side,No,It's depends on my mood,Good,I just cry sometimes and then take a sleep,No,Neutral,Less effective,Somewhat helpful,I didn't,In a positive way,Just try to control your emotions infront of others.
2025/11/01 10:27:47 pm GMT+5:30,20,Female,Student,West Bengal,Bengali,Others,B.SC BIOTECHNOLOGY,Academic;Family;Love/Relationship;Friendship/social circles;Physical appearance,Anxiety / Panic attacks;Stress;Self harm tendencies;Loneliness;Post traumatic stress disorder,I do crochet,3,3,Judgemental people,Listening to me,Consulted doctor but didn't take medication help,Would like to travel,I want to live,I was too alone,Yes,Neutral,Much Less effective,Not very helpful,They are limited to their data . They response according to their data stored,They should suggest human interaction,Believe in yourself
2025/11/01 10:28:49 pm GMT+5:30,18,Female,Student,West Bengal,Hindi,Not applicable,Not applicable,Academic;Overthinking/isolation/self-worth struggles,Stress;Sleep issues;Low self esteem/motivation;Anger,Friends and family,4,5,,To hear me out,No,By spending more time with myself,Focus on yourself.. that鈥檚 it.. don鈥檛 let people decide your worth. Love yourself,Talking to a trusted friend or my parents,Maybe,Positively,Somewhat effective,Somewhat helpful,Not experience any bias,AI should response in a way that is understands people鈥檚 problems and somehow advice them on how they can deal with those things,LOVE YOURSELF
2025/11/01 10:35:22 pm GMT+5:30,Lata Tiwary,Female,Student,West Bengal,Hindi,SCHOOL OF BASIC AND APPLIED SCIENCES,B.SC CHEMISTRY,Academic;Family;Love/Relationship;Unequal freedom in choosing career paths;Double standards in freedom;Financial independence;Overthinking/isolation/self-worth struggles,Stress;Loneliness;Low self esteem/motivation;Anger;Obsessive compulsive disorder (OCD),Talking to a friend or my mom or helping needy,5,4,I think everything I do goes wrong,That they appreciate my efforts make me feel that I am important and help me to move forward,No,Listening songs and roaming alone in street,I feel like everything will be okay after sometimes,Nothing I just cry 馃槶,No,Neutral,Much Less effective,Neutral,Not used,I don't know,This question were very helpful
2025/11/01 10:47:09 pm GMT+5:30,19,Male,Student,West Bengal,Bengali,SCHOOL OF LIFE SCIENCE AND BIOTECHNOLOGY,B.SC BIOTECHNOLOGY,Academic;Family;Love/Relationship;Friendship/social circles;Health issues;Physical appearance;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Loneliness;Low self esteem/motivation;Phobias;Anger;Bipolar disorder;Post traumatic stress disorder,Mountain,10,5,Career,Letting me at peace,Consulted doctor and took help of medication,I smoke,Pain is bigger than god.,By smoke,No,Very negatively,Much Less effective,Not at all helpful,No,Maybe they need to improve their way of responding or they need to match the scale of the persons emotion.,Go reach out to someone talk to someone suicide is the permanent solution to the temporary problems.
2025/11/01 10:49:30 pm GMT+5:30,19,Female,Student,West Bengal,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Overthinking/isolation/self-worth struggles,Anxiety / Panic attacks;Stress;Loneliness;Low self esteem/motivation;Anger,My phone and a good talk with my friends,4,4,My overthinking,Mental,No,I tried to keep my mind off of it,"Life is a journey full of ups and downs, i cannot let my depression affect my dreams and ambitions",Didn't understand the question. I have had to take anxiety pills sometimes for the anxiety attacks i used to have,No,Positively,Somewhat effective,Extremely helpful,No i haven't,AI's responses were pretty helpful to me.,"Life has its ups and downs, but I realized I can鈥檛 let my pain stop me from chasing my dreams. Even when no one was there to help, I chose to find my own way. You can too, your story isn鈥檛 over yet."
2025/11/01 10:59:01 pm GMT+5:30,20,Female,Student,Bihar,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH (COMPUTER SCIENCE ENGINEERING & BUSINESS SYSTEMS),Academic;Love/Relationship;Friendship/social circles;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Anger,Walking during listening to music,8,3,Over Analyzing things,To listen to me,No,To let things go,NA,No,Maybe,Neutral,Less effective,Somewhat helpful,NA,Sometimes it just sugarcoats the things but it's important that it tells where the problem actually is,Cut off with people who make you feel bad about yourself
2025/11/01 10:59:49 pm GMT+5:30,18,Female,Student,West Bengal,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH (COMPUTER SCIENCE ENGINEERING & BUSINESS SYSTEMS),Academic,Stress,Family and friends,5,3,Stress,Support,No,Taking myself a treat,Happy life,Meditation,Maybe,Positively,Less effective,Not very helpful,Not yet experienced,..,..
2025/11/01 11:24:34 pm GMT+5:30,16,Female,student,West Bengal,Hindi,Not applicable,Not applicable,Academic;Health issues;Societal culture and discrimination;Double standards in freedom;Religious and cultural traditions;Financial independence;Media or social representation;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Sleep issues,Home,1,1,may be academic progress.,preferred to spend time alone rather than support from others.,No,To make yourself engaged in things that actually brings peace to you.,No matter what life goes on.,.,No,Neutral,Same,Neutral,.,.,No matter what be happy. Do not destroy your mental health for something.
2025/11/01 11:46:04 pm GMT+5:30,21,Male,Student,Chandigarh,Hindi,Others,B. TECH (COMPUTER SCIENCE ENGINEERING & BUSINESS SYSTEMS),Academic;Family;Friendship/social circles,Loneliness;Low self esteem/motivation;Phobias;Obsessive compulsive disorder (OCD);Bipolar disorder,Ok,10,4,Nice,Good,Consulted doctor and took help of medication,Nicely,Yes,Ok,Yes,Very positively,Much more effective,Extremely helpful,Good,Good,Good
2025/11/01 11:49:07 pm GMT+5:30,18,Female,College Student,West Bengal,Hindi,Others,Others,Academic;Family;Health issues;Physical appearance;Financial independence;Media or social representation;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Sleep issues;Loneliness;Low self esteem/motivation;Anger,Anything which surrounds nature.,5,5,Lack of confidence,Just be there for me.,No,"I meditate, listening to music really helps putting my thoughts at bay, sometimes i randomly start reading books to distract myself.","Life is beautiful, you just need to look at it that way.鉂わ笍","During a panic attack, I use 5-4-3-2-1 grounding (naming 5 things I see, 4 things I feel, etc.) to bring me back to the present moment.",No,Positively,Somewhat effective,Somewhat helpful,I haven't experienced it as such.,In a much more humanly way so that we all could feel a sense of relevance.,Never give up on yourself because you are your own strength.
2025/11/01 11:58:22 pm GMT+5:30,16 years old,Female,Student,Bihar,Hindi,Not applicable,Not applicable,Academic,Stress,Evening hours are the best.. That time is perfectly asthetic and it brings peace and comfort. It helps to recharge my mind after hours of disciplined study .,9,3,Happiness and sadness are parts of life.. not all days can be happy .. and not all days can be sad as well.. it's the mindset that needs to be going.. and enjoying every moment of life.,Wishing or expecting from others is the root cause of all the tough moments. I don't expect or wish anything from any person. And wishing nothing makes me much more peaceful.,No,"Doing yoga, stretching and cycling makes me feel highly energetic and mentally healthy. Physical activities are very important for maintaining life.","There was no depressed phase as I know there's nothing permanent. Everything keeps on changing with time.  So life is all about how you change according to the situation. In life, one should be like water. However the situation changes , you must change to stand before it.... And you will reach the ocean ( success) in no time . Just keep on doing efforts and enjoying life.",I have not faced any of these.,Yes,Very positively,Somewhat effective,Neutral,I have not experienced anything like that.,AI is doing good. No need of improvement till now.,I would just say that life is all about enjoying small things. Not everyday can be happy or sad. Just keep doing your best. And enjoying small moments Of life
2025/11/02 12:53:39 am GMT+5:30,21,Male,Business,West Bengal,Hindi,Others,B.COM,Physical appearance;Financial independence,Sleep issues;Loneliness;Low self esteem/motivation;Anger,Friends,10,3,Financial freedom respect power,Depends on the situation,No,Don't know,I've never ever been depressed,Not faced it either,No,Positively,Less effective,Neutral,Don't know,Don't know,May god gives you the strength to fight with your problems and fulfill all your wishes keep it up you will achieve what you want
2025/11/02 10:41:08 am GMT+5:30,19,Female,student,West Bengal,Hindi,SCHOOL OF MEDIA AND COMMUNICATION,B.A JOURNALISM & MASS COMMUNICATION,Friendship/social circles;Media or social representation;Overthinking/isolation/self-worth struggles;Work,Stress;Sleep issues;Loneliness;Low self esteem/motivation;Anger;Post traumatic stress disorder,two space i have  one my  god and my best friend,9,5,loneliness,"listen my feelings , think from my point of view ",No,i just sleep for an hours and then i woke up i use to motivate myself to focus on work leave what is happening,This is life everything happens for a reason whoever leave in your bad days remember do not go back to them and ask for help . prepare yourself so much that no one can bother you whether its emotionally or mentally,no .,Maybe,Positively,Same,Somewhat helpful,i cannot describe it briefly .. because sometimes i use ai not everytime when things is confusing or i cannot understand anything then i use,Very politely,yeah i agree that some people use ai for there mental health .when the situation is out of control and they don't understand anything but some people do not use ai they just have there close friend whom they can share and trust .
2025/11/02 11:34:42 am GMT+5:30,17+,Male,Student,West Bengal,Hindi,SCHOOL OF LAW AND JUSTICE,B.A.LLB(HONS),Friendship/social circles;Overthinking/isolation/self-worth struggles,Anxiety / Panic attacks;Loneliness,Solitude,7,3,Staying away from home and family,"Nothing, I wish staying alone",No,Self,Still searching for meaning,"Manual Breathing, self analysis ",No,Neutral,Somewhat effective,Somewhat helpful,Yes,Can't improve,Nope
2025/11/02 2:53:28 pm GMT+5:30,18,Male,business,West Bengal,Hindi,SCHOOL OF EDUCATION,B.COM,Family;Financial independence;Overthinking/isolation/self-worth struggles,Stress;Loneliness;Low self esteem/motivation;Anger,gym,6,2,financial freedom,talking,No,by reading bhagwat gita,not overcome yet,no i haven鈥檛 faced such things,Maybe,Neutral,Somewhat effective,Neutral,uy,can鈥檛 describe,only earn money
2025/11/02 3:29:42 pm GMT+5:30,19,Female,Studenr,West Bengal,Hindi,SCHOOL OF BUSINESS,BBA,Academic;Family;Love/Relationship;Friendship/social circles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies,Sleep,9,3,Academics,To understand my point of view,No,Space,Eveything that happens make you strong,NA,Maybe,Negatively,Much Less effective,Not at all helpful,NA,NA,Whatever you鈥檙e going through genuinely it gets better with time and don鈥檛 give up because at the end it鈥檚 your life.
2025/11/02 4:13:21 pm GMT+5:30,18,Female,Student,West Bengal,Hindi,SCHOOL OF BUSINESS,B.COM,Academic;Financial independence;Overthinking/isolation/self-worth struggles,Sleep issues;Low self esteem/motivation,My Room,8,2,Self Doubt,Leave me alone,No,Try to clam myself,"Life is too short,hectic and wonderful to hung up on one thing or let other make you feel down",I have not,No,Positively,Less effective,Neutral,I have not,To emphasise more on working myself then telling me its okay to be not okay,Life is short so life like it ends tomorrow
2025/11/02 8:28:24 pm GMT+5:30,20,Female,Student,Chandigarh,Punjabi,SCHOOL OF SMART AGRICULTURE,B.SC(HONS) AGRICULTURE,Health issues,Depression;Stress;Sleep issues,Travel any forest or Zoo,2,4,feeling happy cause my close ones are with me,Seeking advices to keep us motivated,Consulted doctor and took help of medication,Doing excercises daily and meeting therapists,Nothing matters if you decide not to give up,listening songs and morning walk,Maybe,Very positively,Somewhat effective,Somewhat helpful,not experienced it yet,giving more relatable answers,Keep it up
